Марка;Модель;Годы;Экран;Магнитола;Цена магнитолы;Рамка;Артикул рамки;Цена рамки;Проводка;Цена проводки;Итого;Статус;Вариантов рамок;Вариантов проводки;Рамок с фото
Ford;Transit;2002–2010;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Ford 2003 - 2016 9 дюймов универсальная (для замены прямоугольной маг-лы);FR 086N;686;Переходник для Android магнитолы для Ford 2003–2015 годов;600;18286;ок;1;4;0
Ford;Transit;2005–2014;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Ford Transit (6) 2006 - 2014 10 дюймов (для замены прямоугольной магнитолы);FR 134T;939;Переходник для Android магнитолы для Ford 2003–2015 годов;600;18639;ок;1;4;0
Ford;Transit;2009–2013;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка в Ford Transit Connect 2009 - 2013 10 дюймов;FR 227T;1866;Переходник для Android магнитолы для Ford 2003–2015 годов;600;19566;ок;1;4;0
Ford;Transit;2014–2025;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Ford Transit 2014+ 9 дюймов (для комплектации с радио и без CD);FR 176N;1023;Переходник Андроид магнитолы для Ford 2012+ (Raize);3300;21323;ок;2;4;0
GMC;Yukon;2006–2010;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Chevrolet Silverado, Tahoe 2007 - 2014 10 дюймов;CH 062T;1019;Переходник Андроид магнитолы для Chevrolet, GMC;4871;22990;ПРОВЕРИТЬ: годы проводки не совпали;1;1;0
Geely;Atlas;2016–2022;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Geely Atlas 2016 - 2022 9 дюймов;FR-GE 102N;1047;Переходник Андроид магнитолы для Geely Atlas 2016-2022, Atlas PRO 2019+;1874;19921;ок;1;1;0
Geely;Atlas;2016–2022;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Geely Atlas 2016 - 2022 10 дюймов;FR-GE 101T;1302;Переходник Андроид магнитолы для Geely Atlas 2016-2022, Atlas PRO 2019+;1874;20276;ок;1;1;0
Geely;Emgrand;2012–2014;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Geely Emgrand EC7 2012 - 2014 10 дюймов;EM 006T;1188;Переходник Андроид магнитолы для Geely 2020+ (360);26138;44426;ПРОВЕРИТЬ: годы проводки не совпали;1;1;0
Geely;Emgrand;2013–2018;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Geely Emgrand X7, GX7 2013 - 2018 9 дюймов;AYGX7A012;1179;Переходник Андроид магнитолы для Geely 2020+ (360);26138;44317;ок;1;1;0
Great Wall;Hover H3;2010–2014;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Great Wall Hover H3 2010 - 2014, H5 2010 - 2012 9 дюймов;GR 028N;530;Переходник Андроид магнитолы для Great Wall H3, H5;590;18120;ок;1;3;0
Great Wall;Hover H5;2010–2014;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Great Wall Hover H3 2010 - 2014, H5 2010 - 2012 9 дюймов;GR 028N;530;Переходник Андроид магнитолы для Great Wall H3, H5;590;18120;ок;1;3;0
Great Wall;Hover H6;2011–2017;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Great Wall Hover H6 2011 - 2017 9 дюймов;TK262;783;Переходник Андроид магнитолы для Great Wall H3, H6;2450;20233;ок;1;1;0
Great Wall;Wingle;2018–2025;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Great Wall Wingle 7 2018+ 10 дюймов;GR 031T;1174;Переходник Андроид магнитолы для Great Wall Wingle 7 2018+;653;18927;ок;1;1;0
Honda;Accord;1997–2002;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Honda Accord 1997 - 2002 10 дюймов;HO 176T;2835;Переходник Андроид магнитолы для штатных систем Clarion;300;20235;ок;1;13;0
Honda;Accord;2002–2008;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Установочный комплект для магнитол 10 дюймов в Honda Accord 2002 - 2008;TK669;6058;Переходник Андроид магнитолы для штатных систем Clarion;300;23458;ок;1;13;0
Honda;Accord;2002–2008;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Установочный комплект для магнитол 12.3 дюйма в Honda Accord 2002 - 2008 (левый руль) Тип2;K148+10I 11;10322;Переходник Андроид магнитолы для штатных систем Clarion;300;37022;ок;1;13;0
Honda;Accord;2008–2012;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Accord 2008 - 2012 9 дюймов (левый руль);TK1013;1254;Переходник Андроид магнитолы для Suzuki,Honda;650;18904;ок;1;13;0
Honda;Accord;2008–2012;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка в Honda Accord 2008 - 2012 для 12,3 дюйма магнитолы;33;1546;Переходник Андроид магнитолы для Suzuki,Honda;650;28596;ок;1;13;0
Honda;Accord;2012–2016;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Honda Accord 2012 - 2016 10 дюймов (левый руль);TK025-20;1197;Переходник Андроид магнитолы для Honda 2008+;600;18897;ок;1;13;0
Honda;Accord;2013–2020;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Honda Accord 2013 - 2020 10 дюймов (правый руль);HO 134T;1173;Переходник Андроид магнитолы для Honda 2008+;600;18873;ок;1;13;0
Honda;Accord;2017–2020;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка в Honda Accord 2017+ 9 дюймов;TK0345;1486;Переходник Андроид магнитолы для Honda 2008+;600;19086;ок;1;13;0
Honda;Accord;2017–2023;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Honda Accord 2017+ для 12,3 дюйма магнитолы;034B;1314;Переходник Андроид магнитолы для Honda 2008+;600;28314;ок;1;13;0
Honda;Airwave;2005–2010;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Airwave 2005 - 2010 9 дюймов;HO 180N;1317;Переходник Андроид магнитолы для Honda 2005-2010;650;18967;ок;1;4;0
Honda;CR-V;1995–2001;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda CR-V 1995 - 2001 9 дюймов;HO 126N;1022;Переходник Андроид магнитолы для штатных систем Clarion;300;18322;ок;1;13;0
Honda;CR-V;2001–2006;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda CR-V 2001 - 2006 9 дюймов;HO 127N;1155;Переходник Андроид магнитолы для штатных систем Clarion;300;18455;ок;1;13;0
Honda;CR-V;2007–2010;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda CR-V 2007 - 2012 9 дюймов;HO 090N;575;Переходник Андроид магнитолы для штатных систем Clarion;300;17875;ок;1;13;0
Honda;CR-V;2007–2012;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка в Honda CR-V 2007 — 2012 для 12,3 дюйма магнитолы;K59+CL-5+K328;6929;Переходник Андроид магнитолы для Suzuki,Honda;650;33979;ок;1;13;0
Honda;CR-V;2012–2017;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda CR-V 2012 - 2017 9 дюймов;HO 118N;628;Переходник Андроид магнитолы для Honda 2008+;600;18228;ок;1;13;0
Honda;CR-V;2012–2017;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Honda CR-V 2012 - 2017 10 дюймов;TK012;1377;Переходник Андроид магнитолы для Honda 2008+;600;19077;ок;1;13;0
Honda;CR-V;2012–2017;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Honda CR-V 2012 - 2017 для 12,3 дюйма магнитолы (взамен БК) левый руль;TK 3010;2427;Переходник Андроид магнитолы для Honda 2008+;600;29427;ок;1;13;0
Honda;CR-V;2016–2023;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda CR-V 2016 - 2023 9 дюймов;HO 099N;1238;Переходник Андроид магнитолы для Honda 2008+;600;18838;ок;1;13;0
Honda;CR-V;2016–2023;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Honda CR-V 2016 - 2023 для 12,3 дюйма магнитолы;TK 3004;1258;Переходник Андроид магнитолы для Honda 2008+;600;28258;ок;1;13;0
Honda;CR-V;2023–2026;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка в Honda CR-V 2023+ 10 дюймов;HO 243T;1790;Переходник Андроид магнитолы для Honda 2008+;600;19490;ок;1;13;0
Honda;CR-V;2023–2026;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Honda CR-V 2023+ для 12,3 дюйма магнитолы;040B;1550;Переходник Андроид магнитолы для Honda 2008+;600;28550;ок;1;13;0
Honda;CR-Z;2010–2017;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda CR-Z 2010+ 9 дюймов;HO 145N;1175;Переходник Андроид магнитолы для Honda 2008+;600;18775;ок;1;4;0
Honda;Civic;1996–1999;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Civic 1996 - 1999 9 дюймов (правый руль);HO 146N;1441;Переходник Андроид магнитолы для штатных систем Clarion;300;18741;ок;1;7;0
Honda;Civic;1996–2001;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Civic 1996 - 2001 9 дюймов (правый руль);HO 187N;1803;Переходник Андроид магнитолы для штатных систем Clarion;300;19103;ок;1;7;0
Honda;Civic;1998–2000;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Civic 1998 - 2000 9 дюймов (правый руль);HO 138N;1100;Переходник Андроид магнитолы для штатных систем Clarion;300;18400;ок;1;7;0
Honda;Civic;2001–2006;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка в Honda Civic 2001 - 2006 9 дюймов (левый руль) кондиционер, черная;HO 174N;1460;Переходник Андроид магнитолы для штатных систем Clarion;300;18760;ок;1;7;0
Honda;Civic;2006–2006;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Civic 2000 - 2006 9 дюймов (правый руль);HO 125N;1313;Переходник Андроид магнитолы для штатных систем Clarion;300;18613;ок;1;7;0
Honda;Civic;2006–2011;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Civic 2006 - 2011 9 дюймов (левый руль, хэтчбэк);HO 107N;1289;Переходник Андроид магнитолы для Suzuki,Honda;650;18939;ок;2;7;0
Honda;Civic;2006–2011;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Honda Civic 2006 - 2011 10 дюймов (седан), левый руль;AYCVCH012;1356;Переходник Андроид магнитолы для Suzuki,Honda;650;19106;ок;2;7;0
Honda;Civic;2006–2011;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка в Honda Civic 2006 - 2011 для 12,3 дюйма магнитолы (седан), левый руль;193;7402;Переходник Андроид магнитолы для Suzuki,Honda;650;34452;ок;2;7;0
Honda;Civic;2012–2017;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Civic 2012 - 2017 9 дюймов (хэтч.) левый руль;HO 108N;1284;Переходник Андроид магнитолы для Honda 2008+;600;18884;ок;1;7;0
Honda;Civic;2015–2021;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Civic 2015 - 2021 9 дюймов;HO 085N;999;Переходник Андроид магнитолы для Honda 2008+;600;18599;ок;1;7;0
Honda;Civic;2021–2026;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка в Honda Civic 2021+ 10 дюймов;HO 196T;1431;Переходник Андроид магнитолы для Honda 2008+;600;19131;ок;1;7;0
Honda;Civic;2021–2026;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка в Honda Civic 2021+ для 12,3 дюйма магнитолы;35;2109;Переходник Андроид магнитолы для Honda 2008+;600;29109;ок;1;7;0
Honda;Crossroad;2007–2010;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Crossroad 2007 - 2010 9 дюймов;HO 192N;1395;Переходник Андроид магнитолы для Honda 2005-2010;650;19045;ок;1;4;0
Honda;Edix;2004–2008;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Honda Edix 2004 - 2009 10 дюймов;HO 211T;942;Переходник Андроид магнитолы для Honda 2005-2010;650;18692;ок;1;4;0
Honda;Element;2002–2011;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Honda Element 2002 - 2011 10 дюймов;HO 202T;2045;Переходник Андроид магнитолы для Honda 2005-2010;650;19795;ок;1;4;0
Honda;Fit;2001–2007;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Fit, Jazz 2001 - 2007 9 дюймов (для авто с мех. печью) (п. руль);HO 102N;1037;Переходник Андроид магнитолы для штатных систем Clarion;300;18337;ок;3;6;0
Honda;Fit;2007–2013;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Honda Fit, Jazz 2007 - 2013 10 дюймов (левый руль);HO 098T;1179;Переходник Андроид магнитолы для штатных систем Clarion;300;18579;ок;3;6;0
Honda;Fit;2007–2013;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка в Honda Fit, Jazz 2007 — 2013 для 12,3 дюйма магнитолы (правый руль);K117 PA1;4604;Переходник Андроид магнитолы для штатных систем Clarion;300;31304;ок;1;6;0
Honda;Fit;2013–2020;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Fit, Jazz 2013 - 2020 9 дюймов (правый руль);TK511;917;Переходник Андроид магнитолы для Honda 2008+;600;18517;ок;2;6;0
Honda;Fit;2013–2020;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Honda Fit, Jazz 2013 - 2020 10 дюймов (правый руль);HFIT13MFA;1132;Переходник Андроид магнитолы для Honda 2008+;600;18832;ок;1;6;0
Honda;Fit;2013–2020;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Honda Fit, Jazz 2013 - 2020 для 12,3 дюйма магнитолы (правый руль);082B;1287;Переходник Андроид магнитолы для Honda 2008+;600;28287;ок;1;6;0
Honda;Fit;2019–2026;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Honda Fit 2019+ 10 дюймов (правый руль) Тип2;HO 207T;974;Переходник Андроид магнитолы для Honda 2008+;600;18674;ок;2;6;0
Honda;Freed;2008–2016;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Honda Freed 2008 - 2016 10 дюймов;HO 124T;1130;Переходник Андроид магнитолы для Honda 2008+;600;18830;ок;2;5;0
Honda;Freed;2016–2024;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Freed 2016 - 2024 9 дюймов;TK596;1557;Переходник Андроид магнитолы для Honda 2008+;600;19157;ок;1;5;0
Honda;Freed;2024–2026;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка в Honda Freed 2024+ 10 дюймов;HO 255T;1416;Переходник Андроид магнитолы для Honda 2008+;600;19116;ок;1;5;0
Honda;Grace;2014–2020;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Honda Grace 2014 - 2020 10 дюймов;HO 082T;1123;Переходник Андроид магнитолы для Honda 2008+;600;18823;ок;1;4;0
Honda;Insight;2009–2014;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Insight 2009 - 2014 9 дюймов;HO 143N;821;Переходник Андроид магнитолы для Honda 2008+;600;18421;ок;1;4;0
Honda;Integra;2001–2006;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Integra 2001 - 2006 9 дюймов;HO 203N;3804;Переходник Андроид магнитолы для штатных систем Clarion;300;21104;ок;1;5;0
Honda;Jazz;2001–2007;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Fit, Jazz 2001 - 2007 9 дюймов (для авто с мех. печью) (п. руль);HO 102N;1037;Переходник Андроид магнитолы для штатных систем Clarion;300;18337;ок;3;5;0
Honda;Jazz;2007–2013;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Honda Fit, Jazz 2007 - 2013 10 дюймов (левый руль);HO 098T;1179;Переходник Андроид магнитолы для штатных систем Clarion;300;18579;ок;3;5;0
Honda;Jazz;2007–2013;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка в Honda Fit, Jazz 2007 — 2013 для 12,3 дюйма магнитолы (правый руль);K117 PA1;4604;Переходник Андроид магнитолы для штатных систем Clarion;300;31304;ок;1;5;0
Honda;Jazz;2013–2020;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Fit, Jazz 2013 - 2020 9 дюймов (правый руль);TK511;917;Переходник Андроид магнитолы для Honda 2008+;600;18517;ок;2;5;0
Honda;Jazz;2013–2020;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Honda Fit, Jazz 2013 - 2020 10 дюймов (правый руль);HFIT13MFA;1132;Переходник Андроид магнитолы для Honda 2008+;600;18832;ок;1;5;0
Honda;Jazz;2013–2020;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Honda Fit, Jazz 2013 - 2020 для 12,3 дюйма магнитолы (правый руль);082B;1287;Переходник Андроид магнитолы для Honda 2008+;600;28287;ок;1;5;0
Honda;Jazz;2020–2026;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Honda Jazz 2020+ 10 дюймов (левый руль);HO 175T;840;Переходник Андроид магнитолы для Honda 2008+;600;18540;ок;1;5;0
Honda;Mobilio;2002–2005;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Mobilio, Mobilio Spike 2001 - 2008 9 дюймов;HO 165N;1136;Переходник Андроид магнитолы для Honda 2005-2010;650;18786;ок;1;4;0
Honda;N-BOX;2011–2017;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda N-BOX 2011 - 2017, Slash 2014 - 2020, N-BOX+ 2012 - 2018 9 дюймов;HO 204N;1034;Переходник Андроид магнитолы для Honda 2008+;600;18634;ок;1;5;0
Honda;N-BOX;2017–2026;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Honda N-BOX 2017+, N-WGN 2019+, N-ONE 2020+ 10 дюймов;HO 149T;1133;Переходник Андроид магнитолы для Honda 2008+;600;18833;ок;1;5;0
Honda;N-BOX;2023–2026;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка в Honda N-BOX 2023+ 10 дюймов;HO 256T;2615;Переходник Андроид магнитолы для Honda 2008+;600;20315;ок;1;5;0
Honda;N-ONE;2017–2026;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Honda N-BOX 2017+, N-WGN 2019+, N-ONE 2020+ 10 дюймов;HO 149T;1133;Переходник Андроид магнитолы для Honda 2008+;600;18833;ок;1;5;0
Honda;N-WGN;2013–2019;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda N-WGN 2013 - 2019 9 дюймов;HO 179N;1991;Переходник Андроид магнитолы для Honda 2008+;600;19591;ок;1;5;0
Honda;N-WGN;2017–2026;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Honda N-BOX 2017+, N-WGN 2019+, N-ONE 2020+ 10 дюймов;HO 149T;1133;Переходник Андроид магнитолы для Honda 2008+;600;18833;ок;1;5;0
Honda;Odyssey;1994–1999;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Odyssey 1994 - 1999 9 дюймов;HO 148N;2194;Переходник Андроид магнитолы для Suzuki,Honda;650;19844;ок;1;8;0
Honda;Odyssey;1998–2003;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка в Honda Odyssey 1998 - 2003 9 дюймов (правый руль);HO 257N;1972;Переходник Андроид магнитолы для Suzuki,Honda;650;19622;ок;1;8;0
Honda;Odyssey;2003–2008;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Honda Odyssey 2003 - 2008 10 дюймов;HO 119T;1529;Переходник Андроид магнитолы для Suzuki,Honda;650;19279;ок;1;8;0
Honda;Odyssey;2008–2013;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Odyssey 2008 - 2013 9 дюймов (правый руль);HO 237N;1894;Переходник Андроид магнитолы для Suzuki,Honda;650;19544;ок;1;8;0
Honda;Odyssey;2013–2017;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Honda Odyssey 2013 - 2017 10 дюймов;HO 117T;1319;Переходник Андроид магнитолы для Honda 2008+;600;19019;ок;1;8;0
Honda;Pilot;2002–2004;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Pilot 2002 - 2004 9 дюймов;HO 215N;3378;Переходник Андроид магнитолы для Honda 2008+;600;20978;ПРОВЕРИТЬ: годы проводки не совпали;1;4;0
Honda;Ridgeline;2005–2015;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Ridgeline 2005 - 2015 9 дюймов;HO 214N;926;Переходник Андроид магнитолы для Suzuki,Honda;650;18576;ок;1;6;0
Honda;Shuttle;2015–2024;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Shuttle 2015+ 9 дюймов;TK563;1186;Переходник Андроид магнитолы для Honda 2008+;600;18786;ок;1;5;0
Honda;Slash;2011–2017;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda N-BOX 2011 - 2017, Slash 2014 - 2020, N-BOX+ 2012 - 2018 9 дюймов;HO 204N;1034;Переходник Андроид магнитолы для Honda 2008+;600;18634;ок;1;4;0
Honda;Spike;2002–2005;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Mobilio, Mobilio Spike 2001 - 2008 9 дюймов;HO 165N;1136;Переходник Андроид магнитолы для Honda 2005-2010;650;18786;ок;1;4;0
Honda;Stepwgn;1996–1999;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Stepwgn 1996 - 1999 10 дюймов;HO 193T;1309;Переходник Андроид магнитолы для Honda 2008+;600;18909;ПРОВЕРИТЬ: годы проводки не совпали;1;8;0
Honda;Stepwgn;2003–2005;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Stepwgn 2003 - 2005 9 дюймов;HO 208N;882;Переходник Андроид магнитолы для Honda 2005-2010;650;18532;ок;1;8;0
Honda;Stepwgn;2005–2009;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Stepwgn 2005 - 2009 9 дюймов;HO 147N;1420;Переходник Андроид магнитолы для Honda 2005-2010;650;19070;ок;1;8;0
Honda;Stepwgn;2009–2015;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Honda Stepwgn 2009 - 2015 10 дюймов (правый руль);HO 154T;1393;Переходник Андроид магнитолы для Honda 2008+;600;19093;ок;1;8;0
Honda;Stepwgn;2015–2021;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Honda Stepwgn 2015 - 2021 10 дюймов (правый руль);HO 129T;1746;Переходник Андроид магнитолы для Honda 2008+;600;19446;ок;1;8;0
Honda;Stepwgn;2022–2026;"10""";Андроид магнитола FYT 7862S, 10″, 4/64 ГБ, QLED 2K;17100;Переходная рамка для Honda Stepwgn 2022+ 10 дюймов (правый руль);HO 235T;1684;Переходник Андроид магнитолы для Honda 2008+;600;19384;ок;1;8;0
Honda;Stepwgn;2022–2026;"12,3""";Андроид магнитола FYT 7862S, 12,3″, 8/128 ГБ, QLED;26400;Переходная рамка для Honda Stepwgn 2022+ для 12,3 дюйма магнитолы;061B;2188;Переходник Андроид магнитолы для Honda 2008+;600;29188;ок;1;8;0
Honda;Stream;2000–2006;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Stream 2000 - 2006 9 дюймов;HO 140N;1489;Переходник Андроид магнитолы для штатных систем Clarion;300;18789;ок;1;6;0
Honda;Stream;2003–2006;"9""";Андроид магнитола FYT 7862S, 9″, 4/64 ГБ, QLED 2K;17000;Переходная рамка для Honda Stream 2003 - 2006 9 дюймов;HO 159N;936;Переходник Андроид магнитолы для штатных систем Clarion;300;18236;ок;1;6;0
